month,value,emotion
2021-1,4.580645161,Happy
2021-1,3.533333333,Anxiety
2021-1,2.612903226,Tired
2021-1,0.741935484,Sad
2021-1,0.419354839,Angry
2021-1,0.580645161,Excited
2021-2,4.392857143,Happy
2021-2,4.553571429,Anxiety
2021-2,2.607142857,Tired
2021-2,0.392857143,Sad
2021-2,0.214285714,Angry
2021-2,1.035714286,Excited
2021-3,3.387096774,Happy
2021-3,3.580645161,Anxiety
2021-3,3.258064516,Tired
2021-3,1.290322581,Sad
2021-3,0.709677419,Angry
2021-3,0.516129032,Excited
2021-4,2.2,Happy
2021-4,2.1,Anxiety
2021-4,2.933333333,Tired
2021-4,1.233333333,Sad
2021-4,1.416666667,Angry
2021-4,0.766666667,Excited
2021-5,0.903225806,Happy
2021-5,2.838709677,Anxiety
2021-5,3.35483871,Tired
2021-5,0.935483871,Sad
2021-5,0.516129032,Angry
2021-5,0.258064516,Excited
2021-6,0.5,Happy
2021-6,3.033333333,Anxiety
2021-6,3.3,Tired
2021-6,0.6,Sad
2021-6,0.6,Angry
2021-6,0.266666667,Excited
2021-7,0.322580645,Happy
2021-7,4.225806452,Anxiety
2021-7,3.451612903,Tired
2021-7,1.096774194,Sad
2021-7,1.032258065,Angry
2021-7,0.129032258,Excited
2021-8,0.419354839,Happy
2021-8,2.677419355,Anxiety
2021-8,4.032258065,Tired
2021-8,1.612903226,Sad
2021-8,0.903225806,Angry
2021-8,0.096774194,Excited
2021-9,0.333333333,Happy
2021-9,2.933333333,Anxiety
2021-9,2.866666667,Tired
2021-9,1.533333333,Sad
2021-9,0.566666667,Angry
2021-9,0,Excited
2021-10,0.129032258,Happy
2021-10,3.774193548,Anxiety
2021-10,3.193548387,Tired
2021-10,1.032258065,Sad
2021-10,0.548387097,Angry
2021-10,0.032258065,Excited
2021-11,0.066666667,Happy
2021-11,3.166666667,Anxiety
2021-11,2.166666667,Tired
2021-11,1.533333333,Sad
2021-11,0.866666667,Angry
2021-11,0.066666667,Excited
2021-12,1,Happy
2021-12,3.258064516,Anxiety
2021-12,2.870967742,Tired
2021-12,0.903225806,Sad
2021-12,0.258064516,Angry
2021-12,0.822580645,Excited
2022-1,0.290322581,Happy
2022-1,3.516129032,Anxiety
2022-1,3.580645161,Tired
2022-1,0.580645161,Sad
2022-1,0.483870968,Angry
2022-1,0.35483871,Excited
2022-2,0.964285714,Happy
2022-2,3.035714286,Anxiety
2022-2,3.821428571,Tired
2022-2,0.5,Sad
2022-2,0.928571429,Angry
2022-2,0.535714286,Excited
2022-3,0.419354839,Happy
2022-3,5.333333333,Anxiety
2022-3,5.555555556,Tired
2022-3,0.483870968,Sad
2022-3,0.387096774,Angry
2022-3,0.193548387,Excited
2022-4,0.68,Happy
2022-4,2.44,Anxiety
2022-4,3.24,Tired
2022-4,0.32,Sad
2022-4,0.56,Angry
2022-4,0.28,Excited
2022-5,1.421052632,Happy
2022-5,2.052631579,Anxiety
